"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module.dart", "Dart", -6, 0, -3, -9
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module_method_channel.dart", "Dart", -12, -2, -4, -18
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module_platform_interface.dart", "Dart", -15, -7, -8, -30
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module_web.dart", "Dart", -14, -7, -6, -27
"Total", "-", -47, -16, -21, -84
