"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module.dart", "Dart", 6, 0, 3, 9
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module_method_channel.dart", "Dart", 12, 2, 4, 18
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module_platform_interface.dart", "Dart", 15, 7, 8, 30
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module_web.dart", "Dart", 14, 7, 6, 27
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\data_sources\annual_revenue_goal_firestore_data_source.dart", "Dart", 20, 2, 5, 27
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\data_sources\annual_revenue_goal_remote_data_source.dart", "Dart", 8, 22, 3, 33
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\exceptions\server_exception.dart", "Dart", 9, 0, 3, 12
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\exceptions\server_exception_reason.dart", "Dart", 8, 0, 1, 9
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\extensions\map_parsing_extension.dart", "Dart", 54, 25, 9, 88
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\models\monthly_revenue_goal_remote_model.dart", "Dart", 96, 15, 19, 130
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\repositories\annual_revenue_goal_repository_impl.dart", "Dart", 77, 0, 9, 86
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\entities\annual_revenue_goal.dart", "Dart", 5, 0, 1, 6
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\entities\monthly_revenue_goal.dart", "Dart", 15, -1, 5, 19
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\annual_revenue_goal\annual_revenue_goal_failure.dart", "Dart", -1, 0, -1, -2
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\id_uuid_v7\id_uuid_v7_failure.dart", "Dart", 10, 0, 4, 14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\id_uuid_v7\id_uuid_v7_failure_reason.dart", "Dart", 3, 0, 1, 4
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\money\invalid_money_failure.dart", "Dart", -1, 0, -1, -2
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\money\invalid_money_reason.dart", "Dart", 1, 1, 1, 3
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\month\invalid_month_failure.dart", "Dart", -1, 0, -1, -2
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\monthly_revenue_goal\monthly_revenue_goal_failure.dart", "Dart", 0, 0, -1, -1
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\monthly_revenue_goal\monthly_revenue_goal_failure_reason.dart", "Dart", 3, 0, 1, 4
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\repositories\repository_failure.dart", "Dart", 3, 0, -1, 2
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\repositories\repository_failure_reason.dart", "Dart", -1, 2, 1, 2
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\year\invalid_year_failure.dart", "Dart", 1, 0, 0, 1
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\repositories\annual_revenue_goal_repository.dart", "Dart", 7, 25, 3, 35
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\repositories\yearly_revenue_goal_repository.dart", "Dart", -5, -18, -2, -25
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\use_cases\params\no_params.dart", "Dart", 5, 0, 2, 7
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\use_cases\use_case.dart", "Dart", 5, 0, 2, 7
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\id_uuid_v7.dart", "Dart", 23, 0, 8, 31
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\money.dart", "Dart", 4, 2, 1, 7
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\month\month.dart", "Dart", 1, 1, 1, 3
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\year.dart", "Dart", 1, 0, 1, 2
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\platform\network_info.dart", "Dart", 3, 1, 1, 5
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\platform\network_info_impl.dart", "Dart", 8, 0, 4, 12
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\features\goals_management\domain\use_cases\create_annual_revenue_goal\create_annual_revenue_goal.dart", "Dart", 28, 18, 0, 46
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\features\goals_management\domain\use_cases\create_annual_revenue_goal\failures\create_annual_revenue_goal_failure.dart", "Dart", 20, 0, 5, 25
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\features\goals_management\domain\use_cases\create_annual_revenue_goal\failures\create_annual_revenue_goal_failure_reason.dart", "Dart", 8, 11, 6, 25
"Total", "-", 464, 122, 111, 697
