"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module.dart", "Dart", -6, 0, -2, -8
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module_method_channel.dart", "Dart", -12, -2, -4, -18
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module_platform_interface.dart", "Dart", -15, -7, -8, -30
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\bits_goals_module_web.dart", "Dart", -14, -7, -6, -27
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\exceptions\network_service_exception.dart", "Dart", -6, 0, -3, -9
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\exceptions\rate_limiter_exception.dart", "Dart", -13, 0, -3, -16
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\exceptions\real_time_service_exception.dart", "Dart", -6, 0, -3, -9
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\ports\data_mappers\annual_revenue_goal_action_log_mapper.dart", "Dart", -4, -3, -2, -9
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\ports\infra_services\access_control_service.dart", "Dart", -6, -3, -3, -12
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\ports\infra_services\app_info_service.dart", "Dart", -4, -2, -2, -8
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\ports\infra_services\device_service.dart", "Dart", -4, -2, -2, -8
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\ports\infra_services\network_service.dart", "Dart", -5, -1, -3, -9
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\ports\infra_services\rate_limiter_service.dart", "Dart", -8, -3, -1, -12
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\ports\infra_services\real_time_service.dart", "Dart", -5, -7, -2, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\ports\metadata_collector.dart", "Dart", -8, -2, -2, -12
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\use_cases\no_params_use_case.dart", "Dart", -6, -2, -2, -10
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\use_cases\params_use_case.dart", "Dart", -6, -3, -2, -11
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\application\use_cases\use_case_base.dart", "Dart", -4, -7, -2, -13
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\data_sources\annual_revenue_goal_remote_data_source.dart", "Dart", -11, -18, -2, -31
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\exceptions\server_exception.dart", "Dart", -9, 0, -3, -12
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\exceptions\server_exception_reason.dart", "Dart", -7, 0, -1, -8
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\extensions\map_parsing_extension.dart", "Dart", -98, -47, -18, -163
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\mappers\annual_revenue_goal_action_log_mapper_impl.dart", "Dart", -29, -8, -4, -41
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\models\action_log_model.dart", "Dart", -190, -68, -48, -306
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\models\annual_revenue_goal_meta_remote_model.dart", "Dart", -46, -9, -14, -69
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\models\monthly_revenue_goal_remote_model.dart", "Dart", -96, -15, -19, -130
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\data\repositories\annual_revenue_goal_repository_impl.dart", "Dart", -71, 0, -9, -80
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\entities\action_log\action_log.dart", "Dart", -136, -22, -29, -187
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\entities\action_log\action_type.dart", "Dart", -5, 0, -1, -6
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\entities\annual_revenue_goal.dart", "Dart", -72, -24, -23, -119
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\entities\monthly_revenue_goal.dart", "Dart", -89, -20, -27, -136
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\entities\annual_revenue_goal\annual_revenue_goal_failure.dart", "Dart", -10, 0, -4, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\entities\annual_revenue_goal\annual_revenue_goal_failure_reason.dart", "Dart", -7, -5, -5, -17
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\entities\monthly_revenue_goal\monthly_revenue_goal_failure.dart", "Dart", -10, 0, -4, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\entities\monthly_revenue_goal\monthly_revenue_goal_failure_reason.dart", "Dart", -4, 0, -1, -5
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\failure.dart", "Dart", -4, 0, -2, -6
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\repositories\annual_revenue_goal\annual_revenue_goal_rep_failure.dart", "Dart", -22, -8, -5, -35
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\repositories\annual_revenue_goal\annual_revenue_goal_rep_failure_reason.dart", "Dart", -6, 0, -1, -7
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\app_version\app_version_failure.dart", "Dart", -10, 0, -4, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\app_version\app_version_failure_reason.dart", "Dart", -3, 0, -1, -4
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\device_info\device_info_failure.dart", "Dart", -10, 0, -4, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\device_info\device_info_failure_reason.dart", "Dart", -3, 0, -1, -4
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\email\email_failure.dart", "Dart", -7, 0, -4, -11
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\email\email_failure_reason.dart", "Dart", -3, 0, -1, -4
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\id_uuid_v7\id_uuid_v7_failure.dart", "Dart", -10, 0, -4, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\id_uuid_v7\id_uuid_v7_failure_reason.dart", "Dart", -3, 0, -1, -4
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\ip_address\ip_address_failure.dart", "Dart", -10, 0, -4, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\ip_address\ip_address_failure_reason.dart", "Dart", -3, 0, -1, -4
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\logged_in_user\logged_in_user_failure.dart", "Dart", -10, 0, -4, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\logged_in_user\logged_in_user_failure_reason.dart", "Dart", -6, 0, -1, -7
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\money\invalid_money_failure.dart", "Dart", -10, 0, -4, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\money\invalid_money_reason.dart", "Dart", -4, -2, -2, -8
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\month\invalid_month_failure.dart", "Dart", -10, 0, -5, -15
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\month\invalid_month_reason.dart", "Dart", -4, -2, -2, -8
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\user_role\user_role_failure.dart", "Dart", -10, 0, -4, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\user_role\user_role_failure_reason.dart", "Dart", -4, 0, -1, -5
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\year\invalid_year_failure.dart", "Dart", -10, 0, -4, -14
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\failures\value_objects\year\invalid_year_reason.dart", "Dart", -4, -2, -2, -8
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\policies\goals_module_permission.dart", "Dart", -4, -2, -2, -8
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\repositories\annual_revenue_goal_repository.dart", "Dart", -9, -19, -2, -30
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\services\split_annual_revenue_goal.dart", "Dart", -20, -14, -4, -38
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\utils\string_utils.dart", "Dart", -12, -3, -5, -20
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\app_version.dart", "Dart", -33, -20, -16, -69
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\device_info.dart", "Dart", -20, -18, -10, -48
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\email.dart", "Dart", -41, -21, -16, -78
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\id_uuid_v7.dart", "Dart", -25, 0, -9, -34
"c:\Users\mathe\dev\PROD\packages\bits_house\bits_goals_module\lib\src\core\domain\value_objects\ip_address.dart", "Dart", -35, -14, -16, -65
